name_common,age,mlb_ID,player_ID,year_ID,stint_ID,team_ID,lg_ID,pitcher,salary,OPS_plus,WAR,sumWAR,avgOPSplus,adjusted_sal
Andy Abad,33.0,407577.0,abadan01,2006,1,CIN,NL,N,327000.0,14.8106,-0.02,-0.02,14.8106,384447.2172619048
Jeff Abbott,25.0,110010.0,abbotje01,1998,1,CHW,AL,N,175000.0,104.0026,-0.56,-0.56,104.0026,254466.10429447851
Jeff Abbott,26.0,110010.0,abbotje01,1999,1,CHW,AL,N,255000.0,23.1804,-0.39,-0.39,23.1804,362781.1224489796
Jeff Abbott,27.0,110010.0,abbotje01,2000,1,CHW,AL,N,255000.0,85.6594,-0.28,-0.28,85.6594,350983.362369338
Jeff Abbott,28.0,110010.0,abbotje01,2001,1,FLA,NL,N,300000.0,74.6854,0.03,0.03,74.6854,401496.8944099379
Kurt Abbott,24.0,110011.0,abbotku01,1993,1,OAK,AL,N,109000.0,88.7964,0.18,0.18,88.7964,178787.91003460207
Kurt Abbott,25.0,110011.0,abbotku01,1994,1,FLA,NL,N,109000.0,75.5141,0.07,0.07,75.5141,174324.24426450743
Kurt Abbott,26.0,110011.0,abbotku01,1995,1,FLA,NL,N,119000.0,100.7859,2.01,2.01,100.7859,185072.32939632545
Kurt Abbott,27.0,110011.0,abbotku01,1996,1,FLA,NL,N,250000.0,94.5065,-0.37,-0.37,94.5065,377656.1504142766
Kurt Abbott,28.0,110011.0,abbotku01,1997,1,FLA,NL,N,650000.0,98.0018,0.25,0.25,98.0018,959881.9314641744
Kurt Abbott,29.0,110011.0,abbotku01,1998,1,OAK,AL,N,1000000.0,89.2086,-0.55,-0.64,82.7633,1454092.0245398772
Kurt Abbott,30.0,110011.0,abbotku01,1999,1,COL,NL,N,900000.0,68.4545,-0.71,-0.71,68.4545,1280403.961584634
Kurt Abbott,31.0,110011.0,abbotku01,2000,1,NYM,NL,N,500000.0,70.6393,-0.41,-0.41,70.6393,688202.6713124275
Kurt Abbott,32.0,110011.0,abbotku01,2001,1,ATL,NL,N,600000.0,14.525,0.16,0.16,14.525,802993.7888198758
Reggie Abercrombie,25.0,430631.0,abercre01,2006,1,FLA,NL,N,327000.0,57.6658,-0.74,-0.74,57.6658,384447.2172619048
Brent Abernathy,24.0,150466.0,abernbr01,2002,1,TBD,AL,N,215000.0,62.1451,-0.17,-0.17,62.1451,283261.006114508
Brent Abernathy,25.0,150466.0,abernbr01,2003,1,TBD,AL,N,300000.0,-100.0,-0.03,-0.81,-75.9971,386440.76086956525
Shawn Abner,22.0,110025.0,abnersh01,1988,1,SDP,NL,N,63500.0,47.7221,-0.75,-0.75,47.7221,127223.83347421809
Shawn Abner,23.0,110025.0,abnersh01,1989,1,SDP,NL,N,77500.0,38.2722,-1.23,-1.23,38.2722,148135.625
Shawn Abner,24.0,110025.0,abnersh01,1990,1,SDP,NL,N,105000.0,63.7565,-1.14,-1.14,63.7565,190411.51491966337
Shawn Abner,25.0,110025.0,abnersh01,1991,1,SDP,NL,N,180000.0,28.3979,0.27,-0.41000000000000003,50.052800000000005,313238.32599118946
Shawn Abner,26.0,110025.0,abnersh01,1992,1,CHW,AL,N,297500.0,90.3431,1.88,1.88,90.3431,502584.15894511755
Bobby Abreu,23.0,110029.0,abreubo01,1997,1,HOU,NL,N,150000.0,86.8471,0.39,0.39,86.8471,221511.21495327103
Bobby Abreu,24.0,110029.0,abreubo01,1998,1,PHI,NL,N,180000.0,135.4705,6.39,6.39,135.4705,261736.56441717793
Bobby Abreu,25.0,110029.0,abreubo01,1999,1,PHI,NL,N,400000.0,146.6929,6.09,6.09,146.6929,569068.4273709484
Bobby Abreu,26.0,110029.0,abreubo01,2000,1,PHI,NL,N,2933333.0,142.6505,6.18,6.18,142.6505,4037455.2128977934
Bobby Abreu,27.0,110029.0,abreubo01,2001,1,PHI,NL,N,4983000.0,142.2177,5.19,5.19,142.2177,6668863.416149069
Bobby Abreu,28.0,110029.0,abreubo01,2002,1,PHI,NL,N,6333333.0,151.201,5.81,5.81,151.201,8344122.221573096
Bobby Abreu,29.0,110029.0,abreubo01,2003,1,PHI,NL,N,9100000.0,135.6634,5.37,5.37,135.6634,11722036.413043479
Bobby Abreu,30.0,110029.0,abreubo01,2004,1,PHI,NL,N,10600000.0,144.7213,6.56,6.56,144.7213,13300053.996823715
Bobby Abreu,31.0,110029.0,abreubo01,2005,1,PHI,NL,N,13100000.0,125.7221,3.56,3.56,125.7221,15898221.71018945
Bobby Abreu,32.0,110029.0,abreubo01,2006,1,PHI,NL,N,13600000.0,118.0867,2.02,3.92,128.0378,15989242.063492063
Bobby Abreu,33.0,110029.0,abreubo01,2007,1,NYY,AL,N,15000000.0,113.1177,2.41,2.41,113.1177,17146815.406429954
Bobby Abreu,34.0,110029.0,abreubo01,2008,1,NYY,AL,N,16000000.0,119.6832,2.67,2.67,119.6832,17613651.458642006
Bobby Abreu,35.0,110029.0,abreubo01,2009,1,LAA,AL,N,5000000.0,118.2598,3.16,3.16,118.2598,5523918.951043409
Bobby Abreu,36.0,110029.0,abreubo01,2010,1,LAA,AL,N,9000000.0,117.6763,1.85,1.85,117.6763,9782592.545034302
Bobby Abreu,37.0,110029.0,abreubo01,2011,1,LAA,AL,N,9000000.0,105.4234,1.6,1.6,105.4234,9483251.014719546
Bobby Abreu,38.0,110029.0,abreubo01,2012,2,LAD,NL,N,9000000.0,96.9165,-0.26,-0.5,81.49885,9290978.858332535
Jose Abreu,27.0,547989.0,abreujo02,2014,1,CHW,AL,N,7000000.0,172.8668,5.77,5.77,172.8668,7008308.833468505
Jose Abreu,28.0,547989.0,abreujo02,2015,1,CHW,AL,N,8666000.0,134.7057,3.83,3.83,134.7057,8666000.0
Tony Abreu,24.0,473234.0,abreuto01,2009,1,LAD,NL,N,400000.0,97.4806,0.23,0.23,97.4806,441913.51608347276
Tony Abreu,25.0,473234.0,abreuto01,2010,1,ARI,NL,N,407000.0,46.9682,-1.3,-1.3,46.9682,442390.5739809957
Tony Abreu,28.0,473234.0,abreuto01,2013,1,SFG,NL,N,498000.0,110.0557,-0.08,-0.08,110.0557,506679.1983069837
Tony Abreu,29.0,473234.0,abreuto01,2014,1,SFG,NL,N,745000.0,-100.0,-0.12,-0.12,-100.0,745884.297276291
Dustin Ackley,24.0,554429.0,ackledu01,2012,1,SEA,AL,N,1500000.0,77.381,2.57,2.57,77.381,1548496.476388756
Dustin Ackley,25.0,554429.0,ackledu01,2013,1,SEA,AL,N,1500000.0,90.146,1.17,1.17,90.146,1526142.163575252
Dustin Ackley,26.0,554429.0,ackledu01,2014,1,SEA,AL,N,1700000.0,98.6912,1.99,1.99,98.6912,1702017.859556637
Dustin Ackley,27.0,554429.0,ackledu01,2015,1,SEA,AL,N,2600000.0,76.9614,-1.14,-0.9899999999999999,119.38925,2600000.0
Matt Adams,24.0,571431.0,adamsma01,2013,1,STL,NL,N,490000.0,128.5566,1.17,1.17,128.5566,498539.77343458234
Matt Adams,25.0,571431.0,adamsma01,2014,1,STL,NL,N,516000.0,116.0331,2.41,2.41,116.0331,516612.4797242498
Matt Adams,26.0,571431.0,adamsma01,2015,1,STL,NL,N,534000.0,77.5448,0.34,0.34,77.5448,534000.0
Russ Adams,24.0,425859.0,adamsru01,2005,1,TOR,AL,N,316000.0,86.5376,0.86,0.86,86.5376,383499.0885816692
Russ Adams,25.0,425859.0,adamsru01,2006,1,TOR,AL,N,343000.0,55.5969,-1.09,-1.09,55.5969,403258.0902777778
Jim Adduci,28.0,110073.0,adducji01,1988,1,MIL,AL,N,72500.0,76.7559,-0.08,-0.08,76.7559,145255.55790363482
Jim Adduci,29.0,451192.0,adducji02,2014,1,TEX,AL,N,501000.0,31.5071,-0.01,-0.01,31.5071,501594.67508110305
Ehire Adrianza,24.0,501303.0,adriaeh01,2014,1,SFG,NL,N,500500.0,66.2589,-0.26,-0.26,66.2589,501094.0815929981
Troy Afenir,26.0,110083.0,afenitr01,1990,1,OAK,AL,N,100000.0,-20.737,-0.08,-0.08,-20.737,181344.29992348893
Troy Afenir,28.0,110083.0,afenitr01,1992,1,CIN,NL,N,130000.0,68.8882,0.2,0.2,68.8882,219616.6072701354
Benny Agbayani,27.0,133742.0,agbaybe01,1999,1,NYM,NL,N,200000.0,124.6308,0.63,0.63,124.6308,284534.2136854742
